2026-02-19 21:12:24 [INFO] tfls_metadata [筛选失败原因] EDCDEF 中 CODE_NAME_CHN 候选键（共 65 个）：['AEACN', 'AEOUT', 'AEREL', 'AESEV', 'CMDOSFRM', 'CMDOSFRQ', 'CMDOSU', 'CMREAS', 'CMROUTE', 'AECONTRT', 'AEDIS', 'AESCONG', 'AESDISAB', 'AESDTH', 'AESER', 'AESHOSP', 'AESI', 'AESLIFE', 'AESMIE', 'CMONGO', 'EGCLSIG', 'EGPERF', 'FTPERF', 'FTREASND', 'LBORRES', 'MHONGO', 'MOCLSIG', 'PCPERF', 'PREGYN', 'PRONGO', 'PRPERF', 'PRREASND', 'RPCWHO', 'HEIGHTU', 'SEX', 'DSCAT', 'DSDECOD', 'IECAT', 'DSSCAT', 'RANDTRIG', 'EGTPT', 'EXDOSU', 'EXPDOST', 'EXPDOSTU', 'EXTRT', 'FTTPT', 'LBCAT', 'LBCLSIG', 'LBSPEC', 'PCSTAT', 'PCCAT', 'PCTPT', 'PCORRESU', 'PECAT', 'PERES', 'PRREAS', 'PRCAT', 'PRCDURU', 'PRORRESU', 'PRTPT', 'PRSTAT', 'RPTERM', 'SUBPR', 'VSTPT', 'WEIGHTU']
2026-02-19 21:12:24 [INFO] tfls_metadata [筛选失败原因] 待匹配名称 _EDC_SCREEN_FAIL_NAMES：('筛选结束原因', '筛选失败原因')
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='MOCLSIG' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='PCPERF' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='PREGYN' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='PRONGO' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='PRPERF' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='PRREASND' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='RPCWHO' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='HEIGHTU' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='SEX' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='DSCAT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='DSDECOD' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='IECAT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='DSSCAT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='RANDTRIG' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='EGTPT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='EXDOSU' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='EXPDOST' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='EXPDOSTU' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='EXTRT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='FTTPT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='LBCAT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='LBCLSIG' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='LBSPEC' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='PCSTAT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='PCCAT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='PCTPT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='PCORRESU' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='PECAT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='PERES' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='PRREAS' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='PRCAT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='PRCDURU' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='PRORRESU' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='PRTPT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='PRSTAT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='RPTERM' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='SUBPR' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='VSTPT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [DEBUG] tfls_metadata [筛选失败原因] key='WEIGHTU' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:12:24 [WARNING] tfls_metadata [筛选失败原因] 未找到匹配的 CODE_NAME_CHN（期望含：('筛选结束原因', '筛选失败原因')），返回空列表。
2026-02-19 21:15:33 [INFO] tfls_metadata [筛选失败原因] EDCDEF 中 CODE_NAME_CHN 候选键（共 65 个）：['AEACN', 'AEOUT', 'AEREL', 'AESEV', 'CMDOSFRM', 'CMDOSFRQ', 'CMDOSU', 'CMREAS', 'CMROUTE', 'AECONTRT', 'AEDIS', 'AESCONG', 'AESDISAB', 'AESDTH', 'AESER', 'AESHOSP', 'AESI', 'AESLIFE', 'AESMIE', 'CMONGO', 'EGCLSIG', 'EGPERF', 'FTPERF', 'FTREASND', 'LBORRES', 'MHONGO', 'MOCLSIG', 'PCPERF', 'PREGYN', 'PRONGO', 'PRPERF', 'PRREASND', 'RPCWHO', 'HEIGHTU', 'SEX', 'DSCAT', 'DSDECOD', 'IECAT', 'DSSCAT', 'RANDTRIG', 'EGTPT', 'EXDOSU', 'EXPDOST', 'EXPDOSTU', 'EXTRT', 'FTTPT', 'LBCAT', 'LBCLSIG', 'LBSPEC', 'PCSTAT', 'PCCAT', 'PCTPT', 'PCORRESU', 'PECAT', 'PERES', 'PRREAS', 'PRCAT', 'PRCDURU', 'PRORRESU', 'PRTPT', 'PRSTAT', 'RPTERM', 'SUBPR', 'VSTPT', 'WEIGHTU']
2026-02-19 21:15:33 [INFO] tfls_metadata [筛选失败原因] 待匹配名称 _EDC_SCREEN_FAIL_NAMES：('筛选结束原因', '筛选失败原因')
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='AEACN' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='AEOUT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='AEREL' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='AESEV' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='CMDOSFRM' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='CMDOSFRQ' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='CMDOSU' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='CMREAS' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='CMROUTE' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='AECONTRT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='AEDIS' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='AESCONG' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='AESDISAB' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='AESDTH' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='AESER' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='AESHOSP' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='AESI' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='AESLIFE' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='AESMIE' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='CMONGO' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='EGCLSIG' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='EGPERF' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='FTPERF' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='FTREASND' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='LBORRES' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='MHONGO' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='MOCLSIG' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='PCPERF' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='PREGYN' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='PRONGO' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='PRPERF' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='PRREASND' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='RPCWHO' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='HEIGHTU' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='SEX' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='DSCAT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='DSDECOD' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='IECAT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='DSSCAT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='RANDTRIG' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='EGTPT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='EXDOSU' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='EXPDOST' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='EXPDOSTU' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='EXTRT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='FTTPT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='LBCAT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='LBCLSIG' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='LBSPEC' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='PCSTAT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='PCCAT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='PCTPT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='PCORRESU' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='PECAT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='PERES' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='PRREAS' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='PRCAT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='PRCDURU' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='PRORRESU' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='PRTPT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='PRSTAT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='RPTERM' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='SUBPR' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='VSTPT' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [DEBUG] tfls_metadata [筛选失败原因] key='WEIGHTU' 与任一 ('筛选结束原因', '筛选失败原因') 未匹配。
2026-02-19 21:15:33 [WARNING] tfls_metadata [筛选失败原因] 未找到匹配的 CODE_NAME_CHN（期望含：('筛选结束原因', '筛选失败原因')），返回空列表。
2026-02-19 21:42:57 [INFO] tfls_metadata [筛选失败原因] EDCDEF 候选键（列名或 CODE_NAME_CHN 行值，共 65 个）：['AEACN', 'AEOUT', 'AEREL', 'AESEV', 'CMDOSFRM', 'CMDOSFRQ', 'CMDOSU', 'CMREAS', 'CMROUTE', 'AECONTRT', 'AEDIS', 'AESCONG', 'AESDISAB', 'AESDTH', 'AESER', 'AESHOSP', 'AESI', 'AESLIFE', 'AESMIE', 'CMONGO', 'EGCLSIG', 'EGPERF', 'FTPERF', 'FTREASND', 'LBORRES', 'MHONGO', 'MOCLSIG', 'PCPERF', 'PREGYN', 'PRONGO', 'PRPERF', 'PRREASND', 'RPCWHO', 'HEIGHTU', 'SEX', 'DSCAT', 'DSDECOD', 'IECAT', 'DSSCAT', 'RANDTRIG', 'EGTPT', 'EXDOSU', 'EXPDOST', 'EXPDOSTU', 'EXTRT', 'FTTPT', 'LBCAT', 'LBCLSIG', 'LBSPEC', 'PCSTAT', 'PCCAT', 'PCTPT', 'PCORRESU', 'PECAT', 'PERES', 'PRREAS', 'PRCAT', 'PRCDURU', 'PRORRESU', 'PRTPT', 'PRSTAT', 'RPTERM', 'SUBPR', 'VSTPT', 'WEIGHTU']
2026-02-19 21:42:57 [INFO] tfls_metadata [筛选失败原因] 待匹配名称 _EDC_SCREEN_FAIL_NAMES：('筛选结束原因', '筛选失败原因', '筛选原因')
2026-02-19 21:42:57 [DEBUG] tfls_metadata [筛选失败原因] key='AEACN' 与任一 ('筛选结束原因', '筛选失败原因', '筛选原因') 未匹配。
2026-02-19 21:42:57 [DEBUG] tfls_metadata [筛选失败原因] key='AEOUT' 与任一 ('筛选结束原因', '筛选失败原因', '筛选原因') 未匹配。
2026-02-19 21:42:57 [DEBUG] tfls_metadata [筛选失败原因] key='AEREL' 与任一 ('筛选结束原因', '筛选失败原因', '筛选原因') 未匹配。
2026-02-19 21:42:57 [DEBUG] tfls_metadata [筛选失败原因] key='AESEV' 与任一 ('筛选结束原因', '筛选失败原因', '筛选原因') 未匹配。
2026-02-19 21:42:57 [DEBUG] tfls_metadata [筛选失败原因] key='CMDOSFRM' 与任一 ('筛选结束原因', '筛选失败原因', '筛选原因') 未匹配。
2026-02-19 21:42:57 [DEBUG] tfls_metadata [筛选失败原因] key='CMDOSFRQ' 与任一 ('筛选结束原因', '筛选失败原因', '筛选原因') 未匹配。
2026-02-19 21:42:57 [DEBUG] tfls_metadata [筛选失败原因] key='CMDOSU' 与任一 ('筛选结束原因', '筛选失败原因', '筛选原因') 未匹配。
2026-02-19 21:42:57 [DEBUG] tfls_metadata [筛选失败原因] key='CMREAS' 与任一 ('筛选结束原因', '筛选失败原因', '筛选原因') 未匹配。
2026-02-19 21:42:57 [DEBUG] tfls_metadata [筛选失败原因] key='CMROUTE' 与任一 ('筛选结束原因', '筛选失败原因', '筛选原因') 未匹配。
2026-02-19 21:42:57 [DEBUG] tfls_metadata [筛选失败原因] key='AECONTRT' 与任一 ('筛选结束原因', '筛选失败原因', '筛选原因') 未匹配。
2026-02-19 21:42:57 [DEBUG] tfls_metadata [筛选失败原因] key='AEDIS' 与任一 ('筛选结束原因', '筛选失败原因', '筛选原因') 未匹配。
2026-02-19 21:42:57 [DEBUG] tfls_metadata [筛选失败原因] key='AESCONG' 与任一 ('筛选结束原因', '筛选失败原因', '筛选原因') 未匹配。
2026-02-19 21:42:57 [DEBUG] tfls_metadata [筛选失败原因] key='AESDISAB' 与任一 ('筛选结束原因', '筛选失败原因', '筛选原因') 未匹配。
2026-02-19 21:42:57 [DEBUG] tfls_metadata [筛选失败原因] key='AESDTH' 与任一 ('筛选结束原因', '筛选失败原因', '筛选原因') 未匹配。
2026-02-19 21:42:57 [DEBUG] tfls_metadata [筛选失败原因] key='AESER' 与任一 ('筛选结束原因', '筛选失败原因', '筛选原因') 未匹配。
